NAME                                                     VERSION               RELEASE               ARCH        VENDOR                          GROUP
HindiIM                                                  1.0                   ?                     Intel       ?                               ?                   
EmojiFunctionRowIM                                       1.0                   ?                     Intel       ?                               ?                   
Dictation                                                3.5.1                 ?                     Intel       ?                               ?                   
AinuIM                                                   1.0                   ?                     Intel       ?                               ?                   
50onPaletteServer                                        1.1.0                 ?                     Intel       ?                               ?                   
VirtualScanner                                           4.1                   ?                     Intel       ?                               ?                   
Type8Camera                                              10.1                  ?                     Intel       ?                               ?                   
Type5Camera                                              10.1                  ?                     Intel       ?                               ?                   
Type4Camera                                              10.1                  ?                     Intel       ?                               ?                   
PTPCamera                                                10.1                  ?                     Intel       ?                               ?                   
MassStorageCamera                                        10.1                  ?                     Intel       ?                               ?                   
MakePDF                                                  10.1                  ?                     Intel       ?                               ?                   
Build Web Page                                           10.1                  ?                     Intel       ?                               ?                   
WebKitPluginHost                                         12603                 ?                     Intel       ?                               ?                   
SyncServer                                               8.1                   ?                     Intel       ?                               ?                   
ScreenSaverEngine                                        5.0                   ?                     Intel       ?                               ?                   
QuickLookUIHelper                                        5.0                   ?                     Intel       ?                               ?                   
Python                                                   2.7.10                ?                     Intel       ?                               ?                   
PubSubAgent                                              1.0.5                 ?                     Intel       ?                               ?                   
Widget Simulator                                         1.0                   ?                     Intel       ?                               ?                   
IMServicePlugInAgent                                     10.0                  ?                     Intel       ?                               ?                   
PrinterProxy                                             12.4                  ?                     Intel       ?                               ?                   
SpeechSynthesisServer                                    6.6.2                 ?                     Intel       ?                               ?                   
FontRegistryUIAgent                                      81.0                  ?                     Intel       ?                               ?                   
AddressBookSync                                          10.0                  ?                     Intel       ?                               ?                   
AddressBookSourceSync                                    10.0                  ?                     Intel       ?                               ?                   
AddressBookManager                                       10.0                  ?                     Intel       ?                               ?                   
ABAssistantService                                       10.0                  ?                     Intel       ?                               ?                   
check_afp                                                4.0                   ?                     Intel       ?                               ?                   
screencapturetb                                          1.0                   ?                     Intel       ?                               ?                   
rcd                                                      341.2                 ?                     Intel       ?                               ?                   
iCloud                                                   1.0                   ?                     Intel       ?                               ?                   
Photos Agent                                             2.0                   ?                     Intel       ?                               ?                   
ZoomWindow                                               2.0                   ?                     Intel       ?                               ?                   
WiFiAgent                                                12.0                  ?                     Intel       ?                               ?                   
Weather                                                  1.0                   ?                     Intel       ?                               ?                   
VoiceOver                                                7.0                   ?                     Intel       ?                               ?                   
UnmountAssistantAgent                                    5.0                   ?                     Intel       ?                               ?                   
UniversalAccessControl                                   7.0                   ?                     Intel       ?                               ?                   
System Events                                            1.3.6                 ?                     Intel       ?                               ?                   
Stocks                                                   1.0                   ?                     Intel       ?                               ?                   
Spotlight                                                1.0                   ?                     Intel       ?                               ?                   
Software Update                                          6                     ?                     Intel       ?                               ?                   
SecurityFixer                                            10.8                  ?                     Intel       ?                               ?                   
ReportPanic                                              10.12                 ?                     Intel       ?                               ?                   
RegisterPluginIMApp                                      18                    ?                     Intel       ?                               ?                   
Problem Reporter                                         10.12                 ?                     Intel       ?                               ?                   
PowerChime                                               1.0                   ?                     Intel       ?                               ?                   
Pass Viewer                                              1.0                   ?                     Intel       ?                               ?                   
ODSAgent                                                 1.8                   ?                     Intel       ?                               ?                   
OBEXAgent                                                5.0.5                 ?                     Intel       ?                               ?                   
NowPlayingTouchUI                                        1.0                   ?                     Intel       ?                               ?                   
NetAuthAgent                                             6.2                   ?                     Intel       ?                               ?                   
Memory Slot Utility                                      1.5.1                 ?                     Intel       ?                               ?                   
LocationMenu                                             1.0                   ?                     Intel       ?                               ?                   
Language Chooser                                         1.0                   ?                     Intel       ?                               ?                   
Keychain Circle Notification                             1.0                   ?                     Intel       ?                               ?                   
KeyboardSetupAssistant                                   10.7                  ?                     Intel       ?                               ?                   
Installer Progress                                       1.0                   ?                     Intel       ?                               ?                   
Install in Progress                                      3.0                   ?                     Intel       ?                               ?                   
Install Command Line Developer Tools                     1.0                   ?                     Intel       ?                               ?                   
Image Events                                             1.1.6                 ?                     Intel       ?                               ?                   
Games                                                    1.0                   ?                     Intel       ?                               ?                   
FirmwareUpdateHelper                                     6                     ?                     Intel       ?                               ?                   
Expansion Slot Utility                                   1.5.1                 ?                     Intel       ?                               ?                   
EscrowSecurityAlert                                      1.0                   ?                     Intel       ?                               ?                   
Dwell Control                                            1.0                   ?                     Intel       ?                               ?                   
DiscHelper                                               1.0                   ?                     Intel       ?                               ?                   
Database Events                                          1.0.6                 ?                     Intel       ?                               ?                   
CoreLocationAgent                                        1,486.12              ?                     Intel       ?                               ?                   
CalendarFileHandler                                      8.0                   ?                     Intel       ?                               ?                   
BluetoothUIServer                                        5.0.5                 ?                     Intel       ?                               ?                   
Bluetooth Setup Assistant                                5.0.5                 ?                     Intel       ?                               ?                   
Automator Runner                                         2.7                   ?                     Intel       ?                               ?                   
AppleScript Utility                                      1.1.2                 ?                     Intel       ?                               ?                   
AppDownloadLauncher                                      1.0                   ?                     Intel       ?                               ?                   
AirPlayUIAgent                                           2.0                   ?                     Intel       ?                               ?                   
AddressBookUrlForwarder                                  10.0                  ?                     Intel       ?                               ?                   
AVB Audio Configuration                                  1.0                   ?                     Intel       ?                               ?                   
Cocoa-AppleScript Applet                                 1.0                   ?                     Intel       ?                               ?                   
Python                                                   2.7.13                ?                     Intel       ?                               ?                   
Python Launcher                                          2.7.13                ?                     Intel       ?                               ?                   
RapportUIAgent                                           1.0                   ?                     Intel       ?                               ?                   
Summary Service                                          2.0                   ?                     Intel       ?                               ?                   
ImageCaptureService                                      6.7                   ?                     Intel       ?                               ?                   
ChineseTextConverterService                              2.1                   ?                     Intel       ?                               ?                   
TamilIM                                                  1.6                   ?                     Intel       ?                               ?                   
PressAndHold                                             1.0                   ?                     Intel       ?                               ?                   
PluginIM                                                 18                    ?                     Intel       ?                               ?                   
AutoImporter                                             6.7                   ?                     Intel       ?                               ?                   
AirScanScanner                                           12                    ?                     Intel       ?                               ?                   
Wish                                                     8.5.9                 ?                     Intel       ?                               ?                   
Wish                                                     8.4.19                ?                     Intel       ?                               ?                   
quicklookd32                                             5.0                   ?                     Intel       ?                               ?                   
quicklookd                                               5.0                   ?                     Intel       ?                               ?                   
Python                                                   2.6.9                 ?                     Intel       ?                               ?                   
Ticket Viewer                                            4.0                   ?                     Intel       ?                               ?                   
ThermalTrap                                              1.0                   ?                     Intel       ?                               ?                   
ScriptMonitor                                            1.0.1                 ?                     Intel       ?                               ?                   
PIPAgent                                                 1.0                   ?                     Intel       ?                               ?                   
OSDUIHelper                                              1.0                   ?                     Intel       ?                               ?                   
FolderActionsDispatcher                                  1.0                   ?                     Intel       ?                               ?                   
AppleGraphicsWarning                                     2.3.0                 ?                     Intel       ?                               ?                   
